Instability, Abstractness
0.917073, 0.096154 
0.917073, 0.096154 
0.917073, 0.096154 
0.917073, 0.096154 
0.917073, 0.096154 
0.917073, 0.096154 
0.917073, 0.096154 
0.912676, 0.085470 
0.912676, 0.085470 
0.912676, 0.085470 
0.912676, 0.085470 
0.912676, 0.085470 
0.912676, 0.085470 
0.912676, 0.085470 
0.912676, 0.085470 
0.912676, 0.085470 
0.912676, 0.085470 
0.912676, 0.085470 
0.912676, 0.085470 
0.912676, 0.085470 
0.912676, 0.085470 
0.912676, 0.085470 
0.912676, 0.085470 
0.915007, 0.098361 
0.918216, 0.090226 
0.915274, 0.088889 
0.914489, 0.087591 
0.917763, 0.104167 
0.919918, 0.101351 
0.921627, 0.096774 
0.921359, 0.096154 
0.921587, 0.110429 
0.922383, 0.109756 
0.921169, 0.125749 
0.920332, 0.137931 
0.920290, 0.134078 
0.923729, 0.129730 
0.922367, 0.129730 
0.923890, 0.142857 
0.924042, 0.140704 
0.921649, 0.141463 
0.921981, 0.140777 
0.920295, 0.138756 
0.920295, 0.138756 
0.920295, 0.138756 
0.920295, 0.138756 
0.920295, 0.138756 
0.920295, 0.138756 
0.920295, 0.138756 
0.920635, 0.137441 
0.920635, 0.137441 
0.920635, 0.137441 
0.920635, 0.137441 
0.920635, 0.137441 
0.920635, 0.137441 
0.920635, 0.137441 
0.920635, 0.137441 
0.920635, 0.137441 
0.920635, 0.137441 
0.920635, 0.137441 
0.920635, 0.137441 
0.921506, 0.134259 
0.921506, 0.134259 
0.921506, 0.134259 
0.921506, 0.134259 
0.921506, 0.134259 
0.921506, 0.134259 
0.921506, 0.134259 
0.923360, 0.131818 
0.923360, 0.131818 
0.923360, 0.131818 
0.923360, 0.131818 
0.923360, 0.131818 
0.923360, 0.131818 
0.923360, 0.131818 
0.922531, 0.127753 
0.922531, 0.127753 
0.922531, 0.127753 
0.922531, 0.127753 
0.922531, 0.127753 
0.922531, 0.127753 
0.922531, 0.127753 
0.922124, 0.127193 
0.921472, 0.142259 
0.921452, 0.141079 
0.921136, 0.141129 
0.921136, 0.141129 
0.921136, 0.141129 
0.921136, 0.141129 
0.921136, 0.141129 
0.921136, 0.141129 
0.921136, 0.141129 
0.921136, 0.141129 
0.921136, 0.141129 
0.921136, 0.141129 
0.921136, 0.141129 
0.921136, 0.141129 
0.921136, 0.141129 
0.921136, 0.141129 
0.924571, 0.206406 
0.924571, 0.206406 
0.925214, 0.197952 
0.926476, 0.190789 
0.927668, 0.189542 
0.927559, 0.188925 
0.928135, 0.177370 
0.928135, 0.177370 
0.928135, 0.177370 
0.928135, 0.177370 
0.928135, 0.177370 
0.928135, 0.177370 
0.928135, 0.177370 
0.929148, 0.176292 
0.929520, 0.170088 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.929783, 0.169591 
0.930041, 0.174515 
0.930013, 0.174033 
0.930013, 0.174033 
0.930013, 0.174033 
0.930013, 0.174033 
0.930013, 0.174033 
0.930013, 0.174033 
0.930013, 0.174033 
0.930013, 0.174033 
0.930013, 0.174033 
0.931334, 0.167109 
0.930274, 0.164063 
